date,close
2025-01-02,4357.53
2025-01-03,4403.12
2025-01-06,4395.08
2025-01-07,4354.8
2025-01-08,4307.4
2025-01-09,4311.54
2025-01-10,4260.82
2025-01-13,4221.92
2025-01-14,4352.04
2025-01-15,4363.79
2025-01-16,4417.37
2025-01-17,4479.19
2025-01-20,4595.2
2025-01-21,4693.72
2025-01-22,4581.09
2025-01-23,4515.48
2025-01-24,4657.61
2025-01-27,4687.34
2025-01-28,4723.63
2025-02-03,4737.46
2025-02-04,4977.38
2025-02-05,4930.2
2025-02-06,5059.38
2025-02-07,5150.35
2025-02-10,5286.66
2025-02-11,5142.31
2025-02-12,5281.18
2025-02-13,5235.28
2025-02-14,5526.22
2025-02-17,5499.26
2025-02-18,5639.05
2025-02-19,5672.24
2025-02-20,5500.02
2025-02-21,5859.3
2025-02-24,5789.52
2025-02-25,5698.82
2025-02-26,5953.79
2025-02-27,5881.01
2025-02-28,5568.14
2025-03-03,5535.86
2025-03-04,5535.64
2025-03-05,5757.94
2025-03-06,6068.77
2025-03-07,6037.44
2025-03-10,5885.49
2025-03-11,5967.23
2025-03-12,5845.36
2025-03-13,5747.77
2025-03-14,5880.78
2025-03-17,5872.81
2025-03-18,6105.5
2025-03-19,6041.19
2025-03-20,5836.28
2025-03-21,5639.56
2025-03-24,5736.83
2025-03-25,5517.52
2025-03-26,5573.04
2025-03-27,5589.12
2025-03-28,5506.47
2025-03-31,5394.72
2025-04-01,5407.38
2025-04-02,5426.44
2025-04-03,5313.26
2025-04-07,4401.51
2025-04-08,4568.38
2025-04-09,4689.19
2025-04-10,4813.74
2025-04-11,4900.43
2025-04-14,5015.12
2025-04-15,4981.6
2025-04-16,4796.28
2025-04-17,4887.37
2025-04-22,4899.21
2025-04-23,5049.4
2025-04-24,4975.89
2025-04-25,4982.96
2025-04-28,4988.94
2025-04-29,5019.73
2025-04-30,5087.42
2025-05-02,5244.06
2025-05-06,5239.5
2025-05-07,5200.04
2025-05-08,5228.91
2025-05-09,5180.25
2025-05-12,5447.35
2025-05-13,5269.66
2025-05-14,5381.78
2025-05-15,5297.84
2025-05-16,5281.34
2025-05-19,5255.06
2025-05-20,5315.56
2025-05-21,5342.41
2025-05-22,5251.75
2025-05-23,5246.87
2025-05-26,5157.65
2025-05-27,5182.6
2025-05-28,5174.64
2025-05-29,5301.92
2025-05-30,5170.43
2025-06-02,5134.11
2025-06-03,5189.49
2025-06-04,5219.02
2025-06-05,5319.96
2025-06-06,5286.52
2025-06-09,5433.23
2025-06-10,5392.19
2025-06-11,5451.2
2025-06-12,5331.33
2025-06-13,5239.71
2025-06-16,5299.91
2025-06-17,5291.85
2025-06-18,5214.41
2025-06-19,5088.32
2025-06-20,5133.14
2025-06-23,5187.01
2025-06-24,5297.96
2025-06-25,5359.02
2025-06-26,5345.16
2025-06-27,5341.43
2025-06-30,5302.82
2025-07-02,5269.11
2025-07-03,5233.71
2025-07-04,5216.26
2025-07-07,5229.56
2025-07-08,5325.95
2025-07-09,5231.99
2025-07-10,5216.6
2025-07-11,5248.48
2025-07-14,5283.5
2025-07-15,5431.29
2025-07-16,5418.4
2025-07-17,5448.85
2025-07-18,5538.83
2025-07-21,5585.5
2025-07-22,5606.83
2025-07-23,5745.74
2025-07-24,5743.0
2025-07-25,5677.9
2025-07-28,5664.02
2025-07-29,5644.38
2025-07-30,5490.76
2025-07-31,5453.14
2025-08-01,5397.4
2025-08-04,5481.25
2025-08-05,5521.07
2025-08-06,5532.17
2025-08-07,5546.73
2025-08-08,5460.3
2025-08-11,5460.02
2025-08-12,5439.16
2025-08-13,5630.78
2025-08-14,5576.03
2025-08-15,5543.17
2025-08-18,5579.18
2025-08-19,5542.03
2025-08-20,5541.27
2025-08-21,5498.5
2025-08-22,5647.68
2025-08-25,5825.09
2025-08-26,5782.24
2025-08-27,5697.53
2025-08-28,5644.02
2025-08-29,5674.31
2025-09-01,5798.96
2025-09-02,5728.46
2025-09-03,5683.74
2025-09-04,5578.86
2025-09-05,5687.45
2025-09-08,5753.75
2025-09-09,5828.74
2025-09-10,5902.69
2025-09-11,5888.77
2025-09-12,5989.27
2025-09-15,6043.61
2025-09-16,6077.66
2025-09-17,6334.24
2025-09-18,6271.22
2025-09-19,6294.42
2025-09-22,6257.91
2025-09-23,6167.06
2025-09-24,6323.15
2025-09-25,6379.19
2025-09-26,6195.11
2025-09-29,6324.25
2025-09-30,6465.66
2025-10-02,6682.86
2025-10-03,6622.85
2025-10-06,6550.3
2025-10-08,6514.19
2025-10-09,6471.34
2025-10-10,6259.75
2025-10-13,6145.51
2025-10-14,5923.26
2025-10-15,6075.27
2025-10-16,6003.56
2025-10-17,5760.38
2025-10-20,5933.17
2025-10-21,6007.94
2025-10-22,5923.09
2025-10-23,5951.45
2025-10-24,6059.89
2025-10-27,6171.08
2025-10-28,6093.44
2025-10-30,6051.76
2025-10-31,5908.08
2025-11-03,5922.48
2025-11-04,5818.29
2025-11-05,5785.85
2025-11-06,5944.22
2025-11-07,5837.36
2025-11-10,5915.56
2025-11-11,5924.39
2025-11-12,5933.99
2025-11-13,5981.3
2025-11-14,5812.8
2025-11-17,5756.88
2025-11-18,5645.73
2025-11-19,5606.9
2025-11-20,5574.59
2025-11-21,5395.49
2025-11-24,5545.56
2025-11-25,5612.03
2025-11-26,5618.36
2025-11-27,5598.05
2025-11-28,5599.11
2025-12-01,5644.76
2025-12-02,5624.04
2025-12-03,5534.92
2025-12-04,5615.43
2025-12-05,5662.46
2025-12-08,5662.55
2025-12-09,5554.68
2025-12-10,5581.1
2025-12-11,5534.59
2025-12-12,5638.05
2025-12-15,5498.42
2025-12-16,5402.51
2025-12-17,5457.95
2025-12-18,5418.29
2025-12-19,5479.04
2025-12-22,5526.83
2025-12-23,5488.89
2025-12-24,5499.3
2025-12-29,5483.01
2025-12-30,5578.38
2025-12-31,5515.98
2026-01-02,5736.44
2026-01-05,5741.63
2026-01-06,5825.26
2026-01-07,5738.52
2026-01-08,5678.34
2026-01-09,5687.14
2026-01-12,5863.2
2026-01-13,5869.79
2026-01-14,5908.26
2026-01-15,5828.35
2026-01-16,5822.18
2026-01-19,5749.98
2026-01-20,5683.44
2026-01-21,5746.3
2026-01-22,5762.44
2026-01-23,5798.01
2026-01-26,5725.99
2026-01-27,5754.72
2026-01-28,5900.16
2026-01-29,5841.1
2026-01-30,5718.18
2026-02-02,5526.31
2026-02-03,5467.26
2026-02-04,5366.44
2026-02-05,5406.13
2026-02-06,5346.2
2026-02-09,5417.6
2026-02-10,5451.03
2026-02-11,5499.99
2026-02-12,5408.98
2026-02-13,5360.42
2026-02-16,5367.52
2026-02-20,5211.5
